date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-05-17,6.75,6.83,6.51,6.7,6.7,517343,0.0000,1.0
2021-05-14,6.65,6.72,6.42,6.7,6.7,747256,0.0000,1.0
2021-05-13,6.82,6.93,5.77,6.6,6.6,3114484,0.0000,1.0
2021-05-12,6.84,7.0,6.6,6.87,6.87,620503,0.0000,1.0
2021-05-11,6.53,6.82,6.51,6.78,6.78,1115609,0.0000,1.0
2021-05-10,7.16,7.25,6.7,6.89,6.89,1392352,0.0000,1.0
2021-05-07,7.0,7.26,7.0,7.14,7.14,391495,0.0000,1.0
2021-05-06,7.4,7.4,6.99,7.0,7.0,1114879,0.0000,1.0
2021-05-05,7.2,7.67,7.16,7.4,7.4,752872,0.0000,1.0
2021-05-04,7.48,7.5,7.01,7.2,7.2,1618186,0.0000,1.0
2021-05-03,7.96,8.0,7.5,7.56,7.56,1241821,0.0000,1.0
2021-04-30,7.95,8.09,7.95,7.975,7.975,455256,0.0000,1.0
2021-04-29,8.175,8.2,7.91,8.0,8.0,796819,0.0000,1.0
2021-04-28,8.08,8.25,8.08,8.18,8.18,610474,0.0000,1.0
2021-04-27,8.16,8.25,8.01,8.19,8.19,824993,0.0000,1.0
2021-04-26,8.21,8.24,7.98,8.22,8.22,1314427,0.0000,1.0
2021-04-23,8.34,8.35,8.2,8.25,8.25,722235,0.0000,1.0
2021-04-22,8.43,8.5,8.27,8.32,8.32,649619,0.0000,1.0
2021-04-21,8.385,8.55,8.3,8.35,8.35,1001994,0.0000,1.0
2021-04-20,8.59,8.6,8.31,8.37,8.37,1399874,0.0000,1.0
2021-04-19,8.9,8.9,8.53,8.58,8.58,1044356,0.0000,1.0
2021-04-16,8.9,9.33,8.8,8.84,8.84,1265710,0.0000,1.0
2021-04-15,10.6,10.85,8.29,8.81,8.81,6027716,0.0000,1.0
2021-04-14,9.67,9.76,9.1,9.56,9.56,1669403,0.0000,1.0
2021-04-13,9.07,10.23,9.07,9.76,9.76,3456522,0.0000,1.0
2021-04-12,8.41,9.15,8.4,9.04,9.04,2191956,0.0000,1.0
2021-04-09,8.25,8.49,8.25,8.32,8.32,570770,0.0000,1.0
2021-04-08,8.35,8.56,8.16,8.28,8.28,692493,0.0000,1.0
2021-04-07,8.69,8.7,8.27,8.32,8.32,1038659,0.0000,1.0
2021-04-06,9.1,9.2,8.61,8.69,8.69,1557412,0.0000,1.0
2021-04-05,9.19,9.4,8.83,9.07,9.07,677556,0.0000,1.0
2021-04-01,8.86,9.2,8.85,9.08,9.08,1016470,0.0000,1.0
2021-03-31,8.81,8.9,8.61,8.7,8.7,667527,0.0000,1.0
2021-03-30,8.75,8.81,8.51,8.79,8.79,649248,0.0000,1.0
2021-03-29,8.5,8.95,8.3,8.75,8.75,976917,0.0000,1.0
2021-03-26,8.91,9.25,8.39,8.68,8.68,1631329,0.0000,1.0
2021-03-25,8.99,9.0,8.11,8.68,8.68,3643147,0.0000,1.0
2021-03-24,10.9,10.9,9.0,9.21,9.21,4873291,0.0000,1.0
2021-03-23,11.4,11.62,10.5,11.0,11.0,3271787,0.0000,1.0
2021-03-22,9.94,11.25,9.9,11.24,11.24,4586919,0.0000,1.0
2021-03-19,9.37,10.5,9.2,9.99,9.99,4973301,0.0000,1.0
2021-03-18,8.9,9.3,8.81,9.01,9.01,3090736,0.0000,1.0
2021-03-17,8.4,8.888,8.06,8.81,8.81,4338045,0.0000,1.0
2021-03-16,7.72,9.45,7.71,8.72,8.72,13388652,0.0000,1.0
2021-03-15,5.9,5.91,5.79,5.84,5.84,1487341,0.0000,1.0
2021-03-12,5.9,5.98,5.8,5.91,5.91,795176,0.0000,1.0
2021-03-11,6.0,6.08,5.86,5.93,5.93,1779869,0.0000,1.0
2021-03-10,6.1,6.15,5.84,5.96,5.96,1444146,0.0000,1.0
2021-03-09,5.9,6.2,5.88,6.03,6.03,1408675,0.0000,1.0
2021-03-08,5.87,6.15,5.86,5.87,5.87,1358191,0.0000,1.0
2021-03-05,6.2,6.5,5.66,6.13,6.13,2210956,0.0000,1.0
2021-03-04,6.45,6.55,5.79,6.0,6.0,2177430,0.0000,1.0
2021-03-03,6.62,6.85,6.38,6.57,6.57,1283509,0.0000,1.0
2021-03-02,6.78,6.91,6.59,6.61,6.61,684327,0.0000,1.0
2021-03-01,6.5,6.95,6.5,6.69,6.69,1170991,0.0000,1.0
2021-02-26,6.2,6.53,6.03,6.22,6.22,1761784,0.0000,1.0
2021-02-25,6.65,6.85,6.16,6.57,6.57,2167173,0.0000,1.0
2021-02-24,6.31,6.7,6.3,6.57,6.57,2167173,0.0000,1.0
2021-02-23,7.08,7.08,6.1,6.28,6.28,3216482,0.0000,1.0
2021-02-22,7.2,7.24,6.85,6.94,6.94,1742358,0.0000,1.0
2021-02-19,7.4,7.5,6.85,6.98,6.98,1588341,0.0000,1.0
2021-02-18,7.44,7.72,7.05,7.14,7.14,2586405,0.0000,1.0
2021-02-17,6.07,7.25,6.0,7.02,7.02,4337827,0.0000,1.0
2021-02-16,5.76,6.145,5.75,5.94,5.94,3205628,0.0000,1.0
2021-02-12,6.1,6.15,5.3,5.69,5.69,10615036,0.0000,1.0
2021-02-11,7.7595,7.8,6.45,6.5,6.5,7147484,0.0000,1.0
2021-02-10,8.05,8.4,7.5,8.0,8.0,4076469,0.0000,1.0
2021-02-09,8.04,8.55,7.87,8.0,8.0,4076469,0.0000,1.0
2021-02-08,7.08,8.7,6.47,7.75,7.75,14068777,0.0000,1.0
2021-02-05,7.01,8.45,5.25,7.05,7.05,62965404,0.0000,1.0
2021-02-04,12.62,13.3,12.6,12.82,12.82,2025389,0.0000,1.0
2021-02-03,11.41,12.8,11.4,12.54,12.54,3044401,0.0000,1.0
2021-02-02,11.03,11.75,11.015,11.21,11.21,2213540,0.0000,1.0
2021-02-01,11.27,11.6,10.71,10.95,10.95,2758926,0.0000,1.0
2021-01-29,12.3,12.5,10.2,10.87,10.87,7998867,0.0000,1.0
2021-01-28,13.62,14.35,11.75,12.68,12.68,5345086,0.0000,1.0
2021-01-27,12.43,15.09,11.9,13.32,13.32,8687362,0.0000,1.0
2021-01-26,10.72,12.98,10.5,12.97,12.97,5267164,0.0000,1.0
2021-01-25,9.83,10.76,9.83,10.34,10.34,5714653,0.0000,1.0
2021-01-22,9.75,9.84,9.5,9.76,9.76,1441468,0.0000,1.0
2021-01-21,9.8,9.89,9.49,9.64,9.64,1385446,0.0000,1.0
2021-01-20,9.9,9.915,9.3,9.5,9.5,1327062,0.0000,1.0
2021-01-19,9.35,9.85,9.26,9.3,9.3,2614699,0.0000,1.0
2021-01-15,10.05,10.1,9.0,9.16,9.16,4729671,0.0000,1.0
2021-01-14,10.44,10.65,10.1,10.2,10.2,4720095,0.0000,1.0
2021-01-13,8.97,10.1,8.96,10.02,10.02,6800631,0.0000,1.0
2021-01-12,8.3,8.97,8.3,8.92,8.92,3447502,0.0000,1.0
2021-01-11,8.22,8.4,8.15,8.2,8.2,1631553,0.0000,1.0
2021-01-08,8.39,8.53,8.3,8.33,8.33,1720423,0.0000,1.0
2021-01-07,8.37,8.49,8.1,8.385,8.385,2623501,0.0000,1.0
2021-01-06,8.69,8.72,8.45,8.54,8.54,3214830,0.0000,1.0
2021-01-05,8.63,8.83,8.46,8.72,8.72,2300268,0.0000,1.0
2021-01-04,8.58,8.96,8.51,8.64,8.64,2904000,0.0000,1.0
2020-12-31,8.23,8.66,8.0,8.5,8.5,2801125,0.0000,1.0
2020-12-30,8.87,9.0,8.12,8.25,8.25,4253641,0.0000,1.0
2020-12-29,7.12,8.5,7.11,8.38,8.38,6101777,0.0000,1.0
2020-12-28,7.42,7.58,7.12,7.21,7.21,3641535,0.0000,1.0
2020-12-24,8.12,8.13,6.92,7.59,7.59,6003446,0.0000,1.0
2020-12-23,8.8,8.89,7.83,7.88,7.88,6095198,0.0000,1.0
2020-12-22,8.44,9.24,8.34,8.63,8.63,6236271,0.0000,1.0
2020-12-21,9.77,10.5,8.12,8.2,8.2,16532632,0.0000,1.0
2020-12-18,8.11,11.11,7.4,9.42,9.42,43566808,0.0000,1.0
2020-12-17,5.29,7.45,4.95,7.35,7.35,29406376,0.0000,1.0
2020-12-16,3.65,3.85,3.62,3.74,3.74,1089551,0.0000,1.0
2020-12-15,3.8,3.8,3.6,3.68,3.68,2239939,0.0000,1.0
2020-12-14,3.96,4.0,3.75,3.8,3.8,1716336,0.0000,1.0
2020-12-11,4.14,4.14,3.95,4.04,4.04,1122086,0.0000,1.0
2020-12-10,4.14,4.18,3.98,4.097,4.097,959114,0.0000,1.0
2020-12-09,4.0,4.29,3.975,4.14,4.14,3134557,0.0000,1.0
2020-12-08,3.67,4.0,3.61,4.0,4.0,2874601,0.0000,1.0
2020-12-07,3.92,4.0,3.6,3.755,3.755,3964558,0.0000,1.0
2020-12-04,3.96,4.1,3.95,3.95,3.95,1630294,0.0000,1.0
2020-12-03,4.15,4.17,3.95,3.99,3.99,3203594,0.0000,1.0
2020-12-02,4.22,4.25,3.86,4.12,4.12,3809439,0.0000,1.0
2020-12-01,4.52,4.55,4.2,4.27,4.27,2885267,0.0000,1.0
2020-11-30,4.61,4.68,4.4,4.55,4.55,2414111,0.0000,1.0
2020-11-27,4.65,4.85,4.63,4.68,4.68,1853104,0.0000,1.0
2020-11-25,4.65,4.75,4.63,4.63,4.63,1325526,0.0000,1.0
2020-11-24,4.71,4.96,4.67,4.7,4.7,2512025,0.0000,1.0
2020-11-23,4.6,4.7,4.6,4.62,4.62,2627430,0.0000,1.0
2020-11-20,4.75,4.78,4.62,4.7,4.7,1257503,0.0000,1.0
2020-11-19,4.7,4.89,4.65,4.77,4.77,1758568,0.0000,1.0
2020-11-18,4.93,5.05,4.76,4.78,4.78,2117989,0.0000,1.0
2020-11-17,4.7,4.95,4.57,4.9,4.9,2291106,0.0000,1.0
2020-11-16,4.54,4.88,4.54,4.86,4.86,2244012,0.0000,1.0
2020-11-13,4.75,4.75,4.51,4.6,4.6,2625648,0.0000,1.0
2020-11-12,4.81,4.94,4.71,4.75,4.75,1837696,0.0000,1.0
2020-11-11,5.05,5.05,4.8,4.9,4.9,1397189,0.0000,1.0
2020-11-10,5.11,5.15,4.8,5.03,5.03,3098236,0.0000,1.0
2020-11-09,5.16,5.39,5.06,5.08,5.08,2793790,0.0000,1.0
2020-11-06,5.19,5.19,4.92,5.055,5.055,2304920,0.0000,1.0
2020-11-05,5.02,5.3,5.02,5.13,5.13,4074654,0.0000,1.0
2020-11-04,4.6,5.0,4.5,4.995,4.995,2613491,0.0000,1.0
2020-11-03,4.64,4.78,4.44,4.58,4.58,2081757,0.0000,1.0
2020-11-02,4.53,4.68,4.44,4.58,4.58,2017522,0.0000,1.0
2020-10-30,4.5,4.55,4.34,4.39,4.39,1616439,0.0000,1.0
2020-10-29,4.51,4.683,4.4,4.5,4.5,1775221,0.0000,1.0
2020-10-28,4.6,4.66,4.37,4.5,4.5,2298694,0.0000,1.0
2020-10-27,4.6,4.81,4.55,4.67,4.67,1265715,0.0000,1.0
2020-10-26,4.7,4.96,4.51,4.66,4.66,2072856,0.0000,1.0
2020-10-23,4.25,4.86,4.25,4.78,4.78,2431076,0.0000,1.0
2020-10-22,4.56,4.65,4.13,4.43,4.43,3552708,0.0000,1.0
2020-10-21,4.98,4.98,4.66,4.72,4.72,2000820,0.0000,1.0
2020-10-20,5.11,5.18,4.63,4.94,4.94,3191934,0.0000,1.0
2020-10-19,5.21,5.3,5.03,5.08,5.08,3119792,0.0000,1.0
2020-10-16,4.96,5.2,4.91,5.005,5.005,3572564,0.0000,1.0
2020-10-15,4.89,5.0,4.6,4.83,4.83,3789664,0.0000,1.0
2020-10-14,4.66,5.1,4.62,5.025,5.025,6465101,0.0000,1.0
2020-10-13,4.15,4.65,3.95,4.6,4.6,6323829,0.0000,1.0
2020-10-12,4.29,4.39,3.83,4.125,4.125,7125100,0.0000,1.0
2020-10-09,4.91,4.99,3.91,4.23,4.23,14360752,0.0000,1.0
2020-10-08,6.0,6.23,4.54,4.82,4.82,20259624,0.0000,1.0
2020-10-07,4.82,6.09,4.735,5.66,5.66,15067187,0.0000,1.0
2020-10-06,4.23,4.74,4.2,4.62,4.62,9777295,0.0000,1.0
2020-10-05,3.5,4.19,3.49,4.095,4.095,10650976,0.0000,1.0
2020-10-02,3.13,3.41,3.03,3.39,3.39,2624294,0.0000,1.0
2020-10-01,3.14,3.34,3.1,3.14,3.14,3096423,0.0000,1.0
2020-09-30,2.96,3.17,2.91,3.072,3.072,2778211,0.0000,1.0
2020-09-29,2.9,2.97,2.86,2.94,2.94,1069020,0.0000,1.0
2020-09-28,2.9,3.0,2.85,2.905,2.905,933547,0.0000,1.0
2020-09-25,2.93,2.99,2.8,2.875,2.875,997992,0.0000,1.0
2020-09-24,2.76,3.0,2.66,2.89,2.89,6979713,0.0000,1.0
2020-09-23,3.0,3.28,2.68,2.77,2.77,7022185,0.0000,1.0
2020-09-22,2.55,2.99,2.5,2.94,2.94,3981146,0.0000,1.0
2020-09-21,2.61,2.69,2.48,2.6,2.6,1158480,0.0000,1.0
2020-09-18,2.47,2.65,2.47,2.59,2.59,1043141,0.0000,1.0
2020-09-17,2.53,2.58,2.46,2.5,2.5,798530,0.0000,1.0
2020-09-16,2.36,2.66,2.36,2.535,2.535,2091440,0.0000,1.0
2020-09-15,2.37,2.4,2.35,2.36,2.36,757628,0.0000,1.0
2020-09-14,2.58,2.59,2.35,2.36,2.36,1325568,0.0000,1.0
2020-09-11,2.3,2.37,2.29,2.35,2.35,699671,0.0000,1.0
2020-09-10,2.41,2.44,2.27,2.29,2.29,1340831,0.0000,1.0
2020-09-09,2.54,2.54,2.34,2.43,2.43,987421,0.0000,1.0
2020-09-08,2.51,2.57,2.36,2.53,2.53,1467943,0.0000,1.0
2020-09-04,2.51,2.51,2.28,2.51,2.51,1485358,0.0000,1.0
2020-09-03,2.62,2.75,2.45,2.51,2.51,2648894,0.0000,1.0
2020-09-02,2.95,3.16,2.64,2.74,2.74,2930741,0.0000,1.0
2020-09-01,3.27,3.29,2.6,2.95,2.95,5703416,0.0000,1.0
2020-08-31,2.61,3.28,2.61,3.11,3.11,7959449,0.0000,1.0
2020-08-28,2.12,2.54,2.12,2.5,2.5,4075937,0.0000,1.0
2020-08-27,2.11,2.14,2.1,2.12,2.12,1359083,0.0000,1.0
2020-08-26,2.13,2.14,2.1,2.11,2.11,1641713,0.0000,1.0
2020-08-25,2.12,2.16,2.11,2.125,2.125,1378475,0.0000,1.0
2020-08-24,2.15,2.17,2.1,2.13,2.13,1715346,0.0000,1.0
2020-08-21,2.2,2.22,2.15,2.17,2.17,1739936,0.0000,1.0
2020-08-20,2.25,2.28,2.19,2.2,2.2,1906869,0.0000,1.0
2020-08-19,2.3,2.3,2.25,2.28,2.28,836022,0.0000,1.0
2020-08-18,2.26,2.295,2.22,2.245,2.245,934917,0.0000,1.0
2020-08-17,2.3,2.31,2.23,2.26,2.26,1255900,0.0000,1.0
2020-08-14,2.18,2.24,2.17,2.23,2.23,912396,0.0000,1.0
2020-08-13,2.26,2.305,2.18,2.195,2.195,1523390,0.0000,1.0
2020-08-12,2.28,2.3,2.16,2.27,2.27,3895967,0.0000,1.0
2020-08-11,2.41,2.47,2.29,2.34,2.34,2888279,0.0000,1.0
2020-08-10,2.15,2.6,2.14,2.41,2.41,4988545,0.0000,1.0
2020-08-07,2.24,2.25,2.09,2.12,2.12,2764055,0.0000,1.0
2020-08-06,2.29,2.32,2.2,2.25,2.25,1978302,0.0000,1.0
2020-08-05,2.32,2.36,2.26,2.29,2.29,1784456,0.0000,1.0
2020-08-04,2.47,2.5,2.33,2.36,2.36,1375160,0.0000,1.0
2020-08-03,2.36,2.55,2.3,2.42,2.42,2057691,0.0000,1.0
2020-07-31,2.09,2.45,2.02,2.4,2.4,4531819,0.0000,1.0
2020-07-30,2.34,2.37,2.16,2.24,2.24,2501093,0.0000,1.0
2020-07-29,2.55,2.55,2.35,2.39,2.39,2496394,0.0000,1.0
2020-07-28,2.49,2.54,2.45,2.475,2.475,1260370,0.0000,1.0
2020-07-27,2.62,2.62,2.41,2.56,2.56,2636086,0.0000,1.0
2020-07-24,2.61,2.68,2.49,2.55,2.55,2351132,0.0000,1.0
2020-07-23,2.8,2.9,2.62,2.66,2.66,1885686,0.0000,1.0
2020-07-22,2.85,2.85,2.62,2.7,2.7,2102305,0.0000,1.0
