date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-03-02,3.07,3.23,2.97,3.18,3.18,894791,0.0000,1.0
2018-03-01,2.97,3.1,2.87,3.07,3.07,984301,0.0000,1.0
2018-02-28,2.89,3.0,2.85,2.89,2.89,580681,0.0000,1.0
2018-02-27,2.86,2.95,2.8,2.85,2.85,260227,0.0000,1.0
2018-02-26,3.0,3.0,2.8,2.84,2.84,519372,0.0000,1.0
2018-02-23,2.7,2.95,2.68,2.94,2.94,540755,0.0000,1.0
2018-02-22,2.64,2.77,2.64,2.68,2.68,516645,0.0000,1.0
2018-02-21,2.65,2.68,2.55,2.64,2.64,249202,0.0000,1.0
2018-02-20,2.66,2.675,2.57,2.61,2.61,214122,0.0000,1.0
2018-02-16,2.63,2.66,2.52,2.63,2.63,320240,0.0000,1.0
2018-02-15,2.57,2.66,2.49,2.63,2.63,288507,0.0000,1.0
2018-02-14,2.5,2.63,2.47,2.56,2.56,323139,0.0000,1.0
2018-02-13,2.53,2.6148,2.5,2.51,2.51,248116,0.0000,1.0
2018-02-12,2.57,2.645,2.5,2.54,2.54,301948,0.0000,1.0
2018-02-09,2.52,2.5886,2.41,2.55,2.55,501547,0.0000,1.0
2018-02-08,2.62,2.62,2.42,2.52,2.52,327302,0.0000,1.0
2018-02-07,2.61,2.65,2.595,2.61,2.61,350961,0.0000,1.0
2018-02-06,2.44,2.65,2.41,2.62,2.62,582651,0.0000,1.0
2018-02-05,2.59,2.64,2.46,2.48,2.48,480912,0.0000,1.0
2018-02-02,2.77,2.78,2.59,2.62,2.62,466699,0.0000,1.0
2018-02-01,2.65,2.811,2.56,2.77,2.77,714619,0.0000,1.0
2018-01-31,2.62,2.69,2.53,2.68,2.68,615400,0.0000,1.0
2018-01-30,2.81,2.81,2.57,2.62,2.62,978173,0.0000,1.0
2018-01-29,2.84,2.91,2.75,2.8,2.8,1044085,0.0000,1.0
2018-01-26,3.07,3.07,2.81,2.84,2.84,2360999,0.0000,1.0
2018-01-25,2.91,3.26,2.91,3.2,3.2,928446,0.0000,1.0
2018-01-24,2.92,2.98,2.85,2.87,2.87,432598,0.0000,1.0
2018-01-23,2.98,2.9984,2.86,2.9,2.9,371466,0.0000,1.0
2018-01-22,2.97,3.0,2.95,2.96,2.96,237279,0.0000,1.0
2018-01-19,2.95,3.01,2.9,2.96,2.96,213523,0.0000,1.0
2018-01-18,3.0,3.12,2.93,2.98,2.98,185819,0.0000,1.0
2018-01-17,2.98,3.04,2.85,3.0,3.0,196299,0.0000,1.0
2018-01-16,3.1,3.1,2.86,2.97,2.97,442296,0.0000,1.0
2018-01-12,3.18,3.22,3.0475,3.1,3.1,482074,0.0000,1.0
2018-01-11,3.15,3.2,3.05,3.16,3.16,409656,0.0000,1.0
2018-01-10,2.99,3.2,2.92,3.13,3.13,739707,0.0000,1.0
2018-01-09,2.9,3.0,2.82,2.99,2.99,238160,0.0000,1.0
2018-01-08,2.94,2.98,2.82,2.92,2.92,341927,0.0000,1.0
2018-01-05,2.82,2.94,2.79,2.88,2.88,340771,0.0000,1.0
2018-01-04,2.83,2.84,2.71,2.79,2.79,167114,0.0000,1.0
2018-01-03,2.71,2.84,2.71,2.82,2.82,368087,0.0000,1.0
2018-01-02,2.68,2.85,2.65,2.7,2.7,418978,0.0000,1.0
2017-12-29,2.67,2.7,2.6,2.66,2.66,183783,0.0000,1.0
2017-12-28,2.77,2.82,2.65,2.68,2.68,223497,0.0000,1.0
2017-12-27,2.6,2.81,2.5774,2.75,2.75,511294,0.0000,1.0
2017-12-26,2.67,2.68,2.55,2.6,2.6,200949,0.0000,1.0
2017-12-22,2.605,2.7,2.6,2.69,2.69,222544,0.0000,1.0
2017-12-21,2.75,2.82,2.62,2.65,2.65,311346,0.0000,1.0
2017-12-20,2.62,2.83,2.6,2.78,2.78,524128,0.0000,1.0
2017-12-19,2.66,2.71,2.58,2.6,2.6,260064,0.0000,1.0
2017-12-18,2.6,2.75,2.56,2.66,2.66,333890,0.0000,1.0
2017-12-15,2.64,2.67,2.51,2.6,2.6,534308,0.0000,1.0
2017-12-14,2.63,2.67,2.59,2.65,2.65,225217,0.0000,1.0
2017-12-13,2.62,2.65,2.58,2.63,2.63,157124,0.0000,1.0
2017-12-12,2.62,2.69,2.53,2.61,2.61,195584,0.0000,1.0
2017-12-11,2.62,2.65,2.55,2.58,2.58,356590,0.0000,1.0
2017-12-08,2.59,2.67,2.57,2.6,2.6,143144,0.0000,1.0
2017-12-07,2.65,2.74,2.58,2.58,2.58,195752,0.0000,1.0
2017-12-06,2.73,2.749,2.57,2.64,2.64,263330,0.0000,1.0
2017-12-05,2.67,2.79,2.561,2.72,2.72,395546,0.0000,1.0
2017-12-04,2.85,2.85,2.6,2.66,2.66,489168,0.0000,1.0
2017-12-01,2.89,2.91,2.54,2.85,2.85,1126193,0.0000,1.0
2017-11-30,2.96,2.98,2.9,2.94,2.94,180689,0.0000,1.0
2017-11-29,2.94,2.98,2.91,2.95,2.95,139429,0.0000,1.0
2017-11-28,2.99,3.0,2.94,2.97,2.97,328514,0.0000,1.0
2017-11-27,3.05,3.135,2.9,3.0,3.0,581843,0.0000,1.0
2017-11-24,2.75,3.11,2.71,3.04,3.04,719277,0.0000,1.0
2017-11-22,2.72,2.76,2.63,2.72,2.72,219299,0.0000,1.0
2017-11-21,2.77,2.81,2.68,2.71,2.71,305953,0.0000,1.0
2017-11-20,2.67,2.78,2.6,2.76,2.76,293151,0.0000,1.0
2017-11-17,2.76,2.8,2.68,2.68,2.68,162157,0.0000,1.0
2017-11-16,2.62,2.8,2.6,2.74,2.74,165888,0.0000,1.0
2017-11-15,2.6,2.64,2.51,2.62,2.62,175366,0.0000,1.0
2017-11-14,2.61,2.66,2.54,2.61,2.61,161406,0.0000,1.0
2017-11-13,2.65,2.76,2.575,2.65,2.65,152008,0.0000,1.0
2017-11-10,2.63,2.68,2.6,2.65,2.65,112824,0.0000,1.0
2017-11-09,2.6,2.72,2.54,2.63,2.63,298109,0.0000,1.0
2017-11-08,2.7,2.7,2.56,2.62,2.62,278002,0.0000,1.0
2017-11-07,2.82,2.82,2.64,2.67,2.67,269295,0.0000,1.0
2017-11-06,2.78,2.78,2.7,2.76,2.76,215231,0.0000,1.0
2017-11-03,2.65,2.85,2.63,2.74,2.74,239524,0.0000,1.0
2017-11-02,2.59,2.75,2.561,2.69,2.69,523057,0.0000,1.0
2017-11-01,2.92,2.92,2.5,2.57,2.57,1032053,0.0000,1.0
2017-10-31,2.83,2.95,2.751,2.92,2.92,416278,0.0000,1.0
2017-10-30,2.65,2.875,2.65,2.82,2.82,342955,0.0000,1.0
2017-10-27,2.65,2.89,2.65,2.82,2.82,707095,0.0000,1.0
2017-10-26,2.63,2.729,2.56,2.64,2.64,359046,0.0000,1.0
2017-10-25,2.8,2.83,2.6,2.66,2.66,523781,0.0000,1.0
2017-10-24,2.43,2.77,2.41,2.76,2.76,775475,0.0000,1.0
2017-10-23,2.48,2.5,2.36,2.43,2.43,443158,0.0000,1.0
2017-10-20,2.61,2.61,2.42,2.49,2.49,826003,0.0000,1.0
2017-10-19,2.58,2.63,2.52,2.56,2.56,537870,0.0000,1.0
2017-10-18,2.62,2.723,2.56,2.57,2.57,715155,0.0000,1.0
2017-10-17,2.74,2.79,2.56,2.67,2.67,803424,0.0000,1.0
2017-10-16,2.95,2.99,2.65,2.7,2.7,1098043,0.0000,1.0
2017-10-13,3.0,3.07,2.95,2.96,2.96,419040,0.0000,1.0
2017-10-12,3.06,3.09,3.0,3.0,3.0,481365,0.0000,1.0
2017-10-11,3.17,3.17,3.02,3.09,3.09,659924,0.0000,1.0
2017-10-10,3.27,3.271,3.1,3.14,3.14,678918,0.0000,1.0
2017-10-09,3.39,3.43,3.205,3.26,3.26,786708,0.0000,1.0
2017-10-06,3.17,3.48,3.15,3.34,3.34,1001915,0.0000,1.0
2017-10-05,3.31,3.32,3.15,3.18,3.18,405061,0.0000,1.0
2017-10-04,3.28,3.321,3.25,3.29,3.29,400174,0.0000,1.0
2017-10-03,3.59,3.67,3.23,3.27,3.27,989519,0.0000,1.0
2017-10-02,3.23,3.59,3.2,3.54,3.54,1867473,0.0000,1.0
2017-09-29,3.1,3.215,3.07,3.19,3.19,784739,0.0000,1.0
2017-09-28,3.0,3.1,2.96,3.07,3.07,573376,0.0000,1.0
2017-09-27,2.99,3.1,2.93,2.97,2.97,880623,0.0000,1.0
2017-09-26,3.03,3.04,2.85,2.99,2.99,842009,0.0000,1.0
2017-09-25,3.02,3.07,2.99,3.05,3.05,670192,0.0000,1.0
2017-09-22,3.0,3.09,3.0,3.05,3.05,525227,0.0000,1.0
2017-09-21,3.02,3.06,2.99,3.01,3.01,582620,0.0000,1.0
2017-09-20,3.01,3.08,2.99,3.05,3.05,949772,0.0000,1.0
2017-09-19,3.18,3.18,3.0,3.03,3.03,1126645,0.0000,1.0
2017-09-18,3.19,3.22,3.08,3.2,3.2,1118397,0.0000,1.0
2017-09-15,3.08,3.19,3.06,3.19,3.19,658049,0.0000,1.0
2017-09-14,3.15,3.22,3.057,3.11,3.11,787318,0.0000,1.0
2017-09-13,3.1,3.22,2.97,3.14,3.14,1465469,0.0000,1.0
2017-09-12,2.95,3.05,2.94,3.0,3.0,668096,0.0000,1.0
2017-09-11,3.25,3.268,2.95,2.99,2.99,1182183,0.0000,1.0
2017-09-08,3.1,3.22,3.03,3.18,3.18,556554,0.0000,1.0
2017-09-07,3.14,3.17,3.03,3.08,3.08,881096,0.0000,1.0
2017-09-06,3.1,3.18,3.0,3.11,3.11,932210,0.0000,1.0
2017-09-05,3.17,3.25,3.08,3.09,3.09,1012527,0.0000,1.0
2017-09-01,3.11,3.24,3.0,3.11,3.11,622092,0.0000,1.0
2017-08-31,2.85,3.15,2.84,3.07,3.07,1252424,0.0000,1.0
2017-08-30,3.0,3.05,2.79,2.84,2.84,1300775,0.0000,1.0
2017-08-29,2.84,3.19,2.76,2.94,2.94,1584272,0.0000,1.0
2017-08-28,2.74,2.89,2.7,2.83,2.83,1341529,0.0000,1.0
2017-08-25,2.76,2.76,2.65,2.7,2.7,699073,0.0000,1.0
2017-08-24,2.69,2.76,2.58,2.73,2.73,1016618,0.0000,1.0
2017-08-23,2.71,2.87,2.56,2.63,2.63,1472075,0.0000,1.0
2017-08-22,2.77,2.85,2.638,2.76,2.76,1006408,0.0000,1.0
2017-08-21,2.85,2.95,2.62,2.78,2.78,1645506,0.0000,1.0
2017-08-18,2.38,2.88,2.35,2.78,2.78,4095945,0.0000,1.0
2017-08-17,2.44,2.52,2.35,2.44,2.44,571489,0.0000,1.0
2017-08-16,2.31,2.53,2.3,2.42,2.42,396773,0.0000,1.0
2017-08-15,2.3,2.36,2.21,2.24,2.24,326944,0.0000,1.0
2017-08-14,2.51,2.51,2.29,2.34,2.34,381656,0.0000,1.0
2017-08-11,2.38,2.55,2.36,2.49,2.49,643371,0.0000,1.0
2017-08-10,2.2,2.45,2.2,2.39,2.39,602533,0.0000,1.0
2017-08-09,2.2,2.34,2.15,2.32,2.32,510049,0.0000,1.0
2017-08-08,2.3,2.3,2.18,2.22,2.22,256273,0.0000,1.0
2017-08-07,2.44,2.45,2.25,2.27,2.27,494319,0.0000,1.0
2017-08-04,2.39,2.47,2.38,2.41,2.41,286281,0.0000,1.0
2017-08-03,2.55,2.55,2.32,2.39,2.39,379800,0.0000,1.0
2017-08-02,2.41,2.49,2.26,2.38,2.38,361170,0.0000,1.0
2017-08-01,2.52,2.52,2.33,2.41,2.41,397894,0.0000,1.0
2017-07-31,2.5,2.55,2.4,2.48,2.48,352311,0.0000,1.0
2017-07-28,2.55,2.6,2.47,2.53,2.53,398749,0.0000,1.0
2017-07-27,2.6,2.65,2.46,2.6,2.6,554471,0.0000,1.0
2017-07-26,2.55,2.58,2.39,2.55,2.55,1067331,0.0000,1.0
2017-07-25,2.5,2.59,2.337,2.51,2.51,846798,0.0000,1.0
2017-07-24,2.43,2.43,2.25,2.26,2.26,495163,0.0000,1.0
2017-07-21,2.43,2.55,2.25,2.36,2.36,1570539,0.0000,1.0
2017-07-20,2.28,2.41,2.23,2.41,2.41,844040,0.0000,1.0
2017-07-19,2.1,2.38,2.09,2.28,2.28,750135,0.0000,1.0
2017-07-18,2.19,2.2,2.08,2.11,2.11,267979,0.0000,1.0
2017-07-17,2.28,2.28,2.13,2.18,2.18,385189,0.0000,1.0
2017-07-14,2.17,2.25,2.09,2.22,2.22,1120300,0.0000,1.0
2017-07-13,2.21,2.24,2.0,2.19,2.19,1022067,0.0000,1.0
2017-07-12,1.88,2.16,1.81,2.15,2.15,1200417,0.0000,1.0
2017-07-11,1.83,1.86,1.77,1.85,1.85,226339,0.0000,1.0
2017-07-10,1.91,1.91,1.8,1.83,1.83,182491,0.0000,1.0
2017-07-07,1.88,1.98,1.85,1.9,1.9,356866,0.0000,1.0
